1;index;ROIC;EBIT/EV;EV
ELET6.SA;1084;0,19305828889916377;0,1061392602770825;93591511040
EGIE3.SA;1084;0,21907663380312142;0,08736467436361937;45230309376
RCI;1087;0,24449899032100827;0,07730739043365663;45419331584
INT;1088;0,17737143276355366;0,12895153037452164;1874929280
LH;1089;0,376982002388699;0,059811818817384746;30607663104
JSLG3.SA;1090;0,19409224323962856;0,10316373177154804;5204874240
GD;1092;0,35149918962722854;0,06130589154742731;70751764480
GNTX;1094;0,37807828165409196;0,059465076280438546;8072921600
FLT;1097;4,001840518337847;0,042500796114210024;25170257920
BBSI;1103;0,24263553398303692;0,07618809631963822;503900896
GDEV;1106;0,15557025997211096;0,43140350531511384;-40601200
SRAD;1106;0,16157345143959612;0,1832206034033799;250479472
JAZZ;1107;0,2801544008478354;0,06801811504728454;10061977600
SP;1107;0,5645884270578647;0,050124107217114314;1382069504
LYB;1107;0,1955020445252158;0,09597654667981756;44833869824
GTN;1110;0,24647314161692893;0,07471127766303763;6080072704
FMX;1111;0,16190084919169237;0,17593379357125966;230711787520
GPI;1113;0,21407102444938372;0,0862817400668458;4911525888
LPX;1113;0,26324985439720444;0,07077467428116982;6386465280
THO;1116;0,2952829353640438;0,06599779047306024;7582068224
CTXS;1117;2,696830819328358;0,04241288590566568;14918290432
FMC;1121;0,3547615184944841;0,0593087146223402;14748254208
DISCB;1124;0,6085730088495576;0,04877433891269371;56397484032
ARW;1125;0,19348600647850023;0,09512448429149589;10429954048
QDEL;1126;0,32541472120070913;0,061477509141344096;5380390400
VIV;1127;0,15190988800501168;0,339942623899517;20349698048
MOH;1132;0,25098994821809323;0,07198528425101758;11446784000
CCU;1132;0,1432163991565146;60,83729676905438;3639603200
CASA;1135;0,20839142387494516;0,08559162600258953;682823808
VZ;1135;0,23305340972652647;0,07608919609084534;405215215616
GSKY;1136;0,15364230544320454;0,23589644492900572;534623360
CMCL;1137;0,15739803060719967;0,18002080650738467;146773312
EBAY;1140;0,4316023738872404;0,05345044768945497;40818180096
SNX;1147;0,1700944472393875;0,1194891495522452;6157084160
JNPR;1147;0,2959528439474964;0,06360304665655092;9571475456
SWN;1148;0,18033307907449783;0,10619856782023426;6678526976
CBOE;1149;1,346958174904943;0,04277307111008821;14079536128
UNIP6.SA;1151;0,2247826173575098;0,077106033091542;7609197056
CARS;1152;0,49413249124355335;0,050004504570883526;1433210880
SCAR3.SA;1153;0,46002415800726026;0,05119822690159776;3492450048
CRTO;1156;0,1939449237758813;0,08951187252230565;1663449728
CHT;1157;0,14271939004335477;1,3743678785309248;31257460736
BGS;1159;0,29705354022857616;0,06273209009596424;4241473536
AFG;1161;0,18567251461988304;0,09731695234964488;11092620288
PG;1161;1,2757769212238015;0,042439968210000664;374346416128
TX;1164;0,15995297823496757;0,1426951987754037;10332681216
CNC;1165;0,4364076022399457;0,05161306504136033;49827500032
VEC;1166;0,2920588709477392;0,0629047696332304;748746880
JNJ;1168;0,7107681515257804;0,04567644995322732;443642183680
HNI;1171;0,2726011968463539;0,06553548260294313;2075547392
UNIP3.SA;1172;0,2247826173575098;0,07500308012274053;7822545408
CEPU;1174;0,14396237074884874;0,307763057895783;41127124992
CSGS;1177;0,26171723178540707;0,06671845625703718;1846988928
MEI;1178;0,2047668240850059;0,08181918793285446;1695812480
LOMA;1182;0,1380602540643077;1,8157043961761463;4014675712
TEND3.SA;1183;0,16636803561344277;0,11502772582475161;2407473920
DOOO;1184;0,27816558024944826;0,06352154506031599;8531750912
DLHC;1185;0,676917510853835;0,045372891845946575;226798416
ZKIN;1193;0,19247941405770932;0,08739579377575935;69982384
HOFT;1196;0,16267180364061384;0,11838185630613829;317430400
BRC;1198;0,3111079086086734;0,05947898559077707;2513421312
DVA;1201;0,23366388976030303;0,07076113466007675;23304904704
AMWD;1204;0,2608475537991751;0,06503545623987335;2000424192
UHS;1206;0,19897355289566784;0,0817566535544607;15844713472
TIMB;1207;0,14127519820426945;0,25967990857663587;11054917632
FFIV;1208;0,5138296094350778;0,04735342649654368;11231990784
MULT3.SA;1208;0,65304396786157;0,04468327077156095;14419216384
CMLS;1212;0,16373615468944921;0,11186417935950817;1084142848
UTHR;1215;0,21726849155503786;0,07371717469424355;7590836224
ENIC;1216;0,12880428676099573;188,07518936735565;3472161280
BBL;1218;0,1880576896302953;0,08731694364488214;170164568064
FMS;1218;0,2443962419233365;0,06742440117564656;33718890496
RSVR;1219;1,1431668029377493;0,04055328561347818;400484032
ALPK3.SA;1221;0,9051318049329751;0,041757021142163474;3041620224
VIVO;1222;0,32290208126588815;0,05720631679119868;830432768
HMC;1224;0,1522780886065274;0,13393945940256677;5554009276416
EDUC;1225;0,19379003154724916;0,08176934207944199;118996616
GWW;1226;0,3221895664952241;0,057142596495421714;23021355008
SEER3.SA;1227;0,161511149910558;0,11353409682151654;2356331776
TV;1233;0,14895194277404725;0,1360044695128767;126873534464
TNET;1233;0,6571428571428571;0,04377710018214522;6304666112
HUBB;1235;0,4545418516169943;0,04837580761354554;11854065664
FONR;1236;0,14196609188930742;0,17460506846683196;106762936
REGI;1238;0,20078931516423432;0,07775097176243544;2675172352
MU;1240;0,18193619746186984;0,0881505838443556;88635260928
PLOW;1242;0,28704771438950416;0,05919256777661701;1148053760
BBGI;1244;0,2099790420577494;0,07344269992786104;358774208
